4b42 Internet Exchange Point	185.1.125.0/24
IX Australia ACT	218.100.54.128/25
IX Australia NSW	218.100.52.0/23
IX Australia QLD	218.100.76.0/24
IX Australia SA	218.100.54.0/25
IX Australia VIC	218.100.78.0/24
IX Australia WA	198.32.212.0/24
IX Brighton	185.1.33.0/24
IX.br (PTT.br) Aracaju	200.219.130.0/24
IX.br (PTT.br) Belém	187.16.195.0/24
IX.br (PTT.br) Belo Horizonte	200.219.139.0/24
IX.br (PTT.br) Brasília	200.192.110.0/24
IX.br (PTT.br) Campina Grande	200.192.109.0/24
IX.br (PTT.br) Campinas	200.192.108.0/24
IX.br (PTT.br) Caxias do Sul	187.16.197.0/24
IX.br (PTT.br) Cuiabá	187.16.203.0/24
IX.br (PTT.br) Curitiba	200.219.140.0/24
IX.br (PTT.br) Florianópolis	200.219.141.0/24
IX.br (PTT.br) Fortaleza	200.219.146.0/24
IX.br (PTT.br) Foz do Iguaçu	187.16.204.0/24
IX.br (PTT.br) Goiânia	200.192.111.0/24
IX.br (PTT.br) João Pessoa	187.16.193.0/24
IX.br (PTT.br) Lajeado	187.16.202.0/24
IX.br (PTT.br) Londrina	200.219.144.0/24
IX.br (PTT.br) Maceió	45.227.1.0/24
IX.br (PTT.br) Manaus	187.16.198.0/24
IX.br (PTT.br) Maringá	187.16.201.0/24
IX.br (PTT.br) Natal	187.16.196.0/24
IX.br (PTT.br) Porto Alegre	200.219.143.0/24
IX.br (PTT.br) Recife	200.219.147.0/24
IX.br (PTT.br) Rio de Janeiro	45.6.52.0/22
IX.br (PTT.br) Salvador	200.219.145.0/24
IX.br (PTT.br) Santa Maria	187.16.205.0/24
IX.br (PTT.br) São José do Rio Preto	187.16.199.0/24
IX.br (PTT.br) São José dos Campos	187.16.192.0/24
IX.br (PTT.br) São Luís	45.227.0.0/24
IX.br (PTT.br) São Paulo	187.16.216.0/21
IX.br (PTT.br) Teresina	200.219.138.0/24
IX.br (PTT.br) Vitória	187.16.194.0/24
IX.br São Paulo	187.16.216.0/22
IX-Denver	206.53.175.0/24
ix.kw	194.54.136.0/24
IX Leeds	91.217.231.0/24
IXLeedsv4-9000	91.234.18.0/24
IX Liverpool	185.1.71.0/25
IX Liverpool	185.1.71.128/25
IX.LODZ.PL	193.151.115.0/24
iX-OKC	206.81.109.0/24
IX Palmas	200.33.115.0/25
IX Palmas	200.33.115.128/26
IXP-APROSVA	170.82.113.0/27
IXP Costa Rica	200.107.83.128/25
IXP Ecuador	200.107.255.120/29
IXP Ecuador - MEC	190.52.206.0/24
IXP Ecuador - STD	200.107.255.0/24
IXP-GUINEE	196.60.38.0/24
IXP-HN	181.210.17.0/24
IXP.mk	185.1.121.0/24
IXP.MX - Mexico City	201.131.204.0/26
IXPN - Abuja	196.216.150.0/24
IXPN Abuja	196.216.150.0/25
IXP Namibia	196.223.35.0/24
IXPN Kano	196.216.150.128/25
IXPN Lagos	196.216.148.0/24
IXPN Port Harcourt	196.216.151.0/24
IXpy	201.217.14.0/24
JAIXP IPv4 subnet	206.41.107.0/24
JBIX	103.119.232.0/22
JEDIX	185.1.126.0/24
JINX	196.223.14.0/24
JINX	196.223.15.0/24
JKT-IX	119.11.184.0/24
JPIX	210.171.224.0/24
JPIX OSAKA	103.246.232.0/24
JPIX TOKYO	210.171.224.0/23
JPNAP Osaka	210.173.178.0/25
JPNAP Tokyo	210.173.176.0/23
JPNAP Tokyo	218.100.45.0/24
JXIX	206.123.7.0/24
KAZ-GOV-IX	195.12.116.0/23
KAZ-IX	195.2.230.0/24
KazNIX	185.79.213.0/24
KCIX	206.51.7.0/25
KG-IX Bishkek	185.1.110.0/24
Kherson Traffic Exchange	185.1.39.0/24
KINIX	196.216.216.0/23
KINIX	196.223.28.0/24
KINX	192.145.251.0/24
KIVIX	185.1.45.0/24
KIXP - Mombasa	196.60.2.0/27
KIXP - Mombasa icolo	196.60.68.0/24
KIXP - Nairobi	196.223.21.0/24
KleyReX	193.189.82.0/23
KM-IX	193.201.116.0/24
KRS-IX	217.117.187.0/24
LANIC IPv4 Subnet 1	172.16.96.0/24
LANIC IPv4 Subnet 2	172.16.97.0/24
LBIX	185.1.72.0/24
Lillix	193.34.197.128/25
LINX Cardiff	195.66.228.0/24
LINX LON1	195.66.224.0/22
LINX LON1	195.66.230.0/26
LINX LON2	195.66.236.0/22
LINX Manchester	195.66.244.0/24
LINX NoVA	206.55.196.0/23
LINX Scotland	195.66.246.0/24
LIPTAM	193.219.13.64/26
Litix	185.1.113.0/24
LIX	193.168.127.0/24
LIX	196.223.44.0/24
LIX-LV	62.63.142.0/24
LIXP	185.1.92.0/24
LL-IX	5.101.92.0/22
LNK-IX	185.1.128.0/24
LocIX	185.1.119.0/24
LocIX Dusseldorf	185.1.155.0/24
LONAP	195.35.120.0/24
LONAP	5.57.80.0/22
LSIX	185.1.32.0/24
LUBIX	196.49.68.0/23
LUBIX	196.60.64.0/24
LU-CIX	188.93.170.0/23
LuIXP	196.223.2.0/24
LVIV-IX	185.1.134.0/24
LyonIX	77.95.71.0/24
MadIX	144.92.233.224/27
MadIX	144.92.233.224/28
MAE Central	198.32.139.0/24
MAE East	198.32.187.0/24
MAE West	198.32.200.0/24
MAG	198.32.224.0/24
MAG	198.32.42.0/24
MalmIX Malmo / IXOR	193.243.183.64/26
Manama IX	77.69.248.0/24
Manila IX	202.0.91.0/24
MARIIX	103.115.192.0/23
MARTINIX	194.254.208.128/27
Martinix	194.254.208.158/27
MASS-IX	206.53.143.0/24
MBIX	206.72.208.0/24
MCIX	119.110.117.0/24
MCIX - Matrix Networks	119.110.115.0/24
MCIX - Matrix Networks	119.110.116.0/23
MCIX - Matrix Networks	119.110.118.0/24
MD-IX	193.17.78.0/24
MegaFon-IX	62.89.200.0/23
MegaIX Ashburn	206.53.170.0/24
MegaIX Auckland	43.243.22.0/23
MegaIX Brisbane	103.26.70.0/24
MegaIX Dallas	206.53.174.0/24
MegaIX Hong Kong	103.48.48.0/23
MegaIX Las Vegas	206.53.205.0/24
MegaIX Los Angeles	206.53.172.0/24
MegaIX Melbourne	103.26.71.0/24
MegaIX Perth	202.12.243.0/24
MegaIX Seattle	206.53.171.0/24
MegaIX Singapore	103.41.12.0/22
MegaIX Sofia	91.212.235.0/24
MegaIX Sydney	103.26.68.0/23
MegaIX Toronto	206.53.203.0/24
MEIX	196.223.7.0/24
MESH-IX	185.1.99.0/24
MEX-IX	206.71.142.0/24
MGIX	196.223.41.0/24
MGMix Montgomery	206.53.200.0/24
MiamiIX	198.78.5.0/24
MICE	206.108.255.0/24
MidWest-IX - Cleveland	206.82.109.0/24
MidWest-IX - Indy	206.53.139.0/24
MidWest-IX - St. Louis	206.71.10.0/24
MiNA	92.60.70.0/24
MINAP Milan	185.1.114.0/24
MISPA-IXP	103.8.60.0/24
M-IX	193.34.200.128/25
MIX	217.29.66.0/24
MIX-BT	196.223.27.0/24
MIX-BT	196.49.72.0/24
MIX-IT	217.29.66.0/23
MIX-IT	217.29.68.0/23
MIX MNDC	103.17.108.0/24
MIXP	196.223.0.0/24
MIXP.me	185.1.44.0/24
MKE-IX	204.107.122.0/25
MLIX	196.60.46.0/24
MLIXP	200.75.174.0/24
MMIX	103.103.194.0/24
MMIX	103.116.194.0/24
MogIX	196.60.54.0/24
MonctonIX	206.71.137.0/24
MOZIX	196.223.33.0/24
MSA	196.60.2.0/24
MS-IX	185.1.144.0/24
